season,gamenumber,gamedate,hteamcode,vteamcode
2011,20739,1/31/2012,PIT,TOR
2011,20740,1/31/2012,CAR,NYI
2011,20741,1/31/2012,MTL,BUF
2011,20742,1/31/2012,TB,WSH
2011,20743,1/31/2012,MIN,NSH
2011,20744,1/31/2012,CGY,DET
2011,20745,1/31/2012,PHX,ANA
2011,20746,1/31/2012,EDM,COL
2011,20747,1/31/2012,VAN,CHI
2011,20748,1/31/2012,SJ,CBJ
2011,20749,2/1/2012,BUF,NYR
2011,20750,2/1/2012,TOR,PIT
2011,20751,2/1/2012,FLA,WSH
2011,20752,2/1/2012,ANA,DAL
2011,20753,2/1/2012,LA,CBJ
2011,20754,2/2/2012,BOS,CAR
2011,20755,2/2/2012,NJ,MTL
2011,20756,2/2/2012,PHI,NSH
2011,20757,2/2/2012,TB,WPG
2011,20758,2/2/2012,COL,MIN
2011,20759,2/2/2012,EDM,CHI
2011,20760,2/2/2012,VAN,DET
2011,20761,2/2/2012,SJ,DAL
2011,20762,2/3/2012,OTT,NYI
2011,20763,2/3/2012,FLA,WPG
2011,20764,2/3/2012,STL,LA
2011,20765,2/3/2012,CGY,CHI
2011,20766,2/3/2012,ANA,CBJ
2011,20767,2/4/2012,BOS,PIT
2011,20768,2/4/2012,PHI,NJ
2011,20769,2/4/2012,MTL,WSH
2011,20770,2/4/2012,COL,VAN
2011,20771,2/4/2012,OTT,TOR
2011,20772,2/4/2012,NYI,BUF
2011,20773,2/4/2012,CAR,LA
2011,20774,2/4/2012,TB,FLA
2011,20775,2/4/2012,NSH,STL
2011,20776,2/4/2012,DAL,MIN
2011,20777,2/4/2012,PHX,SJ
2011,20778,2/4/2012,EDM,DET
2011,20779,2/5/2012,WSH,BOS
2011,20780,2/5/2012,NJ,PIT
2011,20781,2/5/2012,NYR,PHI
2011,20782,2/5/2012,MTL,WPG
2011,20783,2/6/2012,TOR,EDM
2011,20784,2/6/2012,PHX,DET
2011,20785,2/6/2012,ANA,CGY
2011,20786,2/7/2012,NYR,NJ
2011,20787,2/7/2012,PHI,NYI
2011,20788,2/7/2012,WSH,FLA
2011,20789,2/7/2012,CBJ,MIN
2011,20790,2/7/2012,MTL,PIT
2011,20791,2/7/2012,OTT,STL
2011,20792,2/7/2012,TB,LA
2011,20793,2/7/2012,NSH,VAN
2011,20794,2/7/2012,WPG,TOR
2011,20795,2/7/2012,DAL,PHX
2011,20796,2/7/2012,COL,CHI
2011,20797,2/8/2012,BUF,BOS
2011,20798,2/8/2012,DET,EDM
2011,20799,2/8/2012,ANA,CAR
2011,20800,2/8/2012,SJ,CGY
2011,20801,2/9/2012,NJ,STL
2011,20802,2/9/2012,NYI,MTL
2011,20803,2/9/2012,NYR,TB
2011,20804,2/9/2012,PHI,TOR
2011,20805,2/9/2012,WSH,WPG
2011,20806,2/9/2012,CBJ,DAL
2011,20807,2/9/2012,OTT,NSH
2011,20808,2/9/2012,FLA,LA
2011,20809,2/9/2012,MIN,VAN
2011,20810,2/9/2012,PHX,CGY
2011,20811,2/11/2012,PIT,WPG
2011,20812,2/10/2012,BUF,DAL
2011,20813,2/10/2012,DET,ANA
2011,20814,2/10/2012,COL,CAR
2011,20815,2/10/2012,SJ,CHI
2011,20816,2/11/2012,BOS,NSH
2011,20817,2/11/2012,NJ,FLA
2011,20818,2/11/2012,NYI,LA
2011,20819,2/11/2012,PHI,NYR
2011,20820,2/11/2012,OTT,EDM
2011,20821,2/11/2012,BUF,TB
2011,20822,2/11/2012,TOR,MTL
2011,20823,2/11/2012,STL,COL
2011,20824,2/11/2012,MIN,CBJ
2011,20825,2/11/2012,PHX,CHI
2011,20826,2/11/2012,CGY,VAN
2011,20827,2/12/2012,NYI,FLA
2011,20828,2/12/2012,NYR,WSH
2011,20829,2/12/2012,DET,PHI
2011,20830,2/12/2012,CBJ,ANA
2011,20831,2/12/2012,DAL,LA
2011,20832,2/12/2012,PIT,TB
2011,20833,2/12/2012,STL,SJ
2011,20834,2/13/2012,WSH,SJ
2011,20835,2/13/2012,MTL,CAR
2011,20836,2/28/2012,PHX,VAN
2011,20837,2/14/2012,BOS,NYR
2011,20838,2/14/2012,BUF,NJ
2011,20839,2/14/2012,CBJ,STL
2011,20840,2/14/2012,TB,OTT
2011,20841,2/14/2012,DET,DAL
2011,20842,2/14/2012,NSH,CHI
2011,20843,2/14/2012,MIN,ANA
2011,20844,2/14/2012,WPG,NYI
2011,20845,2/14/2012,CGY,TOR
2011,20846,2/15/2012,PIT,ANA
2011,20847,2/15/2012,MTL,BOS
2011,20848,2/15/2012,FLA,OTT
2011,20849,2/15/2012,EDM,TOR
2011,20850,2/15/2012,VAN,COL
2011,20851,2/16/2012,NYR,CHI
2011,20852,2/16/2012,PHI,BUF
2011,20853,2/16/2012,TB,SJ
2011,20854,2/16/2012,STL,NYI
2011,20855,2/16/2012,MIN,WPG
2011,20856,2/16/2012,DAL,CGY
2011,20857,2/16/2012,LA,PHX
2011,20858,2/17/2012,NJ,ANA
2011,20859,2/17/2012,CAR,SJ
2011,20860,2/17/2012,BUF,MTL
2011,20861,2/17/2012,FLA,WSH
2011,20862,2/17/2012,DET,NSH
2011,20863,2/17/2012,WPG,BOS
2011,20864,2/17/2012,EDM,COL
2011,20865,2/18/2012,PHI,PIT
2011,20866,2/18/2012,CBJ,CHI
2011,20867,2/18/2012,STL,MIN
2011,20868,2/18/2012,NYI,CAR
2011,20869,2/18/2012,TB,WSH
2011,20870,2/18/2012,VAN,TOR
2011,20871,2/18/2012,PHX,DAL
2011,20872,2/18/2012,LA,CGY
2011,20873,2/19/2012,BUF,PIT
2011,20874,2/19/2012,DET,SJ
2011,20875,2/19/2012,CHI,STL
2011,20876,2/19/2012,MIN,BOS
2011,20877,2/19/2012,MTL,NJ
2011,20878,2/19/2012,FLA,ANA
2011,20879,2/19/2012,NYR,CBJ
2011,20880,2/19/2012,DAL,NSH
2011,20881,2/19/2012,EDM,VAN
2011,20882,2/19/2012,WPG,COL
2011,20883,2/20/2012,NYI,OTT
2011,20884,2/20/2012,CAR,WSH
2011,20885,2/21/2012,BUF,NYI
2011,20886,2/21/2012,TOR,NJ
2011,20887,2/21/2012,PIT,NYR
2011,20888,2/21/2012,CBJ,SJ
2011,20889,2/21/2012,MTL,DAL
2011,20890,2/21/2012,TB,ANA
2011,20891,2/21/2012,NSH,VAN
2011,20892,2/21/2012,WPG,PHI
2011,20893,2/21/2012,CHI,DET
2011,20894,2/21/2012,CGY,EDM
2011,20895,2/21/2012,PHX,LA
2011,20896,2/22/2012,OTT,WSH
2011,20897,2/22/2012,STL,BOS
2011,20898,2/22/2012,COL,LA
2011,20899,2/23/2012,TOR,SJ
2011,20900,2/23/2012,CAR,ANA
2011,20901,2/23/2012,FLA,MIN
2011,20902,2/23/2012,DET,VAN
2011,20903,2/23/2012,NSH,STL
2011,20904,2/23/2012,WPG,TB
2011,20905,2/23/2012,CHI,DAL
2011,20906,2/23/2012,CGY,PHX
2011,20907,2/23/2012,EDM,PHI
2011,20908,2/24/2012,NJ,VAN
2011,20909,2/24/2012,NYI,NYR
2011,20910,2/24/2012,WSH,MTL
2011,20911,2/24/2012,CBJ,COL
2011,20912,2/24/2012,BUF,BOS
2011,20913,2/24/2012,DAL,MIN
2011,20914,2/25/2012,PIT,TB
2011,20915,2/25/2012,WPG,STL
2011,20916,2/25/2012,EDM,PHX
2011,20917,2/25/2012,LA,CHI
2011,20918,2/25/2012,TOR,WSH
2011,20919,2/25/2012,OTT,BOS
2011,20920,2/25/2012,NYR,BUF
2011,20921,2/25/2012,CAR,FLA
2011,20922,2/25/2012,DET,COL
2011,20923,2/25/2012,NSH,SJ
2011,20924,2/25/2012,CGY,PHI
2011,20925,2/26/2012,NJ,TB
2011,20926,2/26/2012,PIT,CBJ
2011,20927,2/26/2012,DAL,VAN
2011,20928,2/26/2012,OTT,NYI
2011,20929,2/26/2012,FLA,MTL
2011,20930,2/26/2012,MIN,SJ
2011,20931,2/26/2012,ANA,CHI
2011,20932,2/27/2012,NYR,NJ
2011,20933,2/27/2012,NSH,LA
2011,20934,2/27/2012,WPG,EDM
